ID,Station Name,TP_MGL,SampleYear,L,H
14147,Broad Brook,0.078,2004,8.33E-03,0.578333333
14153,Coginchaug River,0.0835,2004,3.33E-02,0.596666667
14194,Farm River,0.03,2004,0.06,0.401666667
14202,Five Mile River,0.211,2003,1.33E-02,0.451666667
14288,Mattabesset River,0.067,2004,0.035,0.491666667
14303,Muddy Brook,0.105,2004,,0.503333333
14314,Natchaug River,0.007,2004,0.27,5.67E-02
14316,Naugatuck River,0.2604,2002,1.95E-02,0.564227642
14316,Naugatuck River,0.1495,2004,2.17E-02,0.763333333
14317,Naugatuck River,0.931738095,2004,1.83E-02,0.448333333
14321,Naugatuck River,0.1725,2004,3.17E-02,0.541666667
14341,Naugatuck River,0.009,2004,0.246666667,0.121666667
14361,Norwalk River,0.059,2004,3.33E-02,0.52
14392,Pequabuck River,1.11,2004,0.025,0.521666667
14410,Quinebaug River,0.04,2004,2.67E-02,0.216666667
14413,Quinnipiac River,0.427,2004,1.83E-02,0.308333333
14441,Salmon River,0.0225,2004,0.258333333,0.055
14442,Sandy Brook,0.0115,2004,0.416666667,4.17E-02
14444,Saugatuck River,0.024,2004,0.09,0.333333333
14450,Shepaug River,0.054,2004,0.166666667,0.353333333
14461,Sandy Brook (Still River),0.068,2004,0.08,0.493333333
14462,Still River,0.025,2004,0.276666667,0.336666667
14465,Stony Brook,0.111,2004,4.33E-02,0.393333333
14547,Mattabesset River,3.07E-02,2003,3.27E-02,0.591503268
14598,Quinebaug River,0.047,2004,2.76E-02,9.27E-02
14605,Eightmile River,0.008,2004,2.33E-02,0.115
14609,Quinebaug River,0.041,2004,6.33E-02,0.175
14669,French River,0.0515,2004,5.67E-02,0.463333333
14686,Blackberry River,3.03E-02,2003,0.194029851,0.247097844
14687,Blackberry River,0.062,2004,6.84E-02,0.362270451
14721,Shunock River,3.83E-02,2003,0.04,9.33E-02
14839,Muddy Brook,0.0868,2002,5.98E-02,0.30730897
14840,Mountain Brook,0.01,2002,0.286184211,3.29E-03
14841,FARMINGTON RIVER,0.0117,2002,0.265372168,9.22E-02
14842,Indian Meadow Brook,0.0106,2002,4.62E-02,4.95E-02
14843,Sandy Brook,0.00879,2002,8.93E-02,
14844,Lake Waramaug Brook,0.0106,2002,0.438003221,4.99E-02
14845,Bull Mountain Brook,0.0155,2002,0.126229508,0.218032787
14846,Sawmill Brook,0.0107,2002,2.96E-02,8.06E-02
14848,Naugatuck River,0.0938,2002,0.039344262,0.324590164
14848,Naugatuck River,0.04375,2003,0.015,0.475
14849,Limekiln Brook,0.0287,2002,0.059016393,0.536065574
14850,Bladdens River,0.0237,2002,0.116013072,6.05E-02
14851,East Branch Byram River,0.0233,2002,7.28E-02,3.97E-02
14852,Pumpkin Ground Brook,0.0253,2002,0.198019802,0.136963696
14853,Norwalk River,0.101,2002,1.66E-02,0.50166113
14855,Neck River,0.0119,2002,0.355371901,2.48E-02
14856,Pond Meadow Brook,0.01295,2002,0.464696223,0.119868637
14857,Beaver Meadow Brook,0.0158,2002,0.444810544,8.73E-02
14858,Flat Brook,0.0177,2002,0.15920398,0.291873964
14859,Shunock River,0.016,2002,6.95E-02,0.170529801
14860,Flat Brook,0.0193,2002,0.549833887,0.167774086
14861,Latimer Brook,0.0154,2002,6.01E-02,0.128246753
14862,Bentley Brook,0.0225,2002,0.68115942,8.86E-02
14865,Skungamaug River,0.0376,2002,0.220563847,0.131011609
14866,Stickney Hill Brook,0.0307,2002,0.109271523,0.158940397
14878,Mashamoquet Brook,0.03035,2002,0.186468647,0.176567657
14879,Hop River,0.01675,2002,8.48E-02,4.08E-02
14880,Sages Ravine Brook,0.01,2002,0.167495854,1.82E-02
14888,Ekonk Brook,0.0255,2002,3.30E-03,0.567656766
14996,Freshwater Brook,0.0685,2003,4.17E-02,0.488333333
14997,East Branch Salmon Brook,2.97E-02,2003,4.83E-02,0.133333333
14998,Still Brook,0.016,2003,0.298333333,6.33E-02
14999,North Running Brook,9.87E-02,2003,0.168333333,6.17E-02
15000,Hollenbeck River,3.07E-02,2003,0.103333333,0.24
15001,Beach Brook,0.009,2003,1.67E-03,1.67E-02
15003,Wappoquia Brook,7.17E-02,2003,0.113333333,8.67E-02
15004,Housatonic River,2.13E-02,2003,0.085,0.141666667
15004,Housatonic River,0.0275,2004,0.298333333,0.178333333
15005,Bantam River,0.015,2003,0.225,3.17E-02
15006,Hockanum River,0.256666667,2003,6.66E-03,0.297836938
15007,Sawmill Brook,2.23E-02,2003,9.67E-02,0.005
15008,Moosup River,3.57E-02,2003,5.17E-02,3.67E-02
15010,Cabin Brook,2.27E-02,2003,0.553333333,3.33E-03
15011,Crooked Brook,2.93E-02,2003,0.713333333,6.67E-02
15012,Pomperaug River,0.025,2003,1.83E-02,0.398333333
15013,Mill River,0.035,2003,6.33E-02,0.34
15014,Clark Creek,0.022,2003,0.398333333,0.01
15015,Seth Williams Brook,0.118,2003,0.095,3.17E-02
15016,Titicus River,0.103666667,2003,4.33E-02,0.313333333
15017,Fivemile Brook,4.92E-02,2003,0.225913621,3.99E-02
15018,Farm River,0.032,2003,1.33E-02,0.415
15020,Eightmile River,0.0205,2003,0.613333333,1.33E-02
15022,West Branch Saugatuck River,8.18E-02,2003,0.06,0.161666667
15023,Farm River,3.37E-02,2003,4.83E-02,0.175
15024,Wood Creek,0.0295,2003,4.83E-02,0.065
15196,Quinnipiac River,0.341318182,2004,0.005,1.201666667
15536,Broad Brook,0.075,2004,3.33E-03,0.646666667
